Id station: 100, location: West demo station
45.496782  120.0
01/01/2021 -> 31/12/2022
T_max   T_min   P_tot   U_max   U_min   V_med   RG_CORR
   15.600    1.600    0.000   78.800   21.800    0.913   19.274
   20.000    1.500    0.000   73.700   13.700    0.696   19.439
   21.800    3.100    0.000   69.700   12.800    0.778   19.917
   21.700    4.700    0.000   57.800   13.200    0.845   19.520
   21.800    4.000    0.000   59.800   17.700    0.703   19.677
   22.100    5.300    0.000   70.800   17.700    0.793   17.739
   22.800    5.000    0.000   71.000   14.700    0.733   19.455
   19.000    8.000    0.000   75.700   30.500    1.032   17.882
   13.400    9.600    2.000   96.500   70.300    1.092    5.839
   16.600    9.400    3.200   98.700   52.300    0.838    9.036
   14.900    5.900    3.500   97.300   62.500    1.324   13.960
   10.500    3.700    0.000   96.500   45.000    1.257    9.030
   11.700    2.000    1.600   97.300   43.800    0.972   11.661
   13.700    4.900    0.000   88.300   39.500    0.927   14.929
   18.500    2.400    0.000   94.800   31.000    0.800   22.031
   17.700    4.800    0.000   94.700   42.300    0.942   18.540
   21.500    7.900    0.000   77.200   33.700    1.249   20.548
   22.600    7.700    0.000   96.000   41.700    1.122   20.899
   19.000    6.200    0.000   94.200   13.500    3.388   24.478
   18.400    1.600    0.000   99.000   17.200    1.159   24.468
   19.600    4.100    0.000   69.700   22.300    1.002   22.705
   20.900    5.200    0.000   65.700   22.500    0.838   21.215
